,User,Rating,Review,Product_Url
0,"allyp3
Eye Color Brown
Hair color Brunette
Skin Tone Medium
Skin Type Combination",5 stars,"This is hands down the best cleanser I’ve ever used. I originally got it in the mini bottle at checkout on a whim and was shocked by how much it cleared my skin up. I bought the big bottle and haven’t looked back since, now this is the only cleanser I’ll use. I used to get little pimples all over my forehead and ever since I started using this (a year ago) they went away and haven’t returned. While I can’t speak for everyone’s skin, this was a miracle product for clearing my complexion and soothes my facial redness each time I use it. Im in love.
…read more",https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
1,"PatTea
Eye Color Brown
Hair color Red
Skin Tone Medium
Skin Type Combination",1 star,"Unfortunately this doesn’t work for everyone. I used it once and woke up the nxt day with 5 pimples, used it again, and again, and again but woke up with more and more. Finally i couldn’t take it anymore, I stopped using it, went back to my cerave hydrating cleanser- and Bam! My skin was clearing up every day after that. I suggest getting the small bottle to try it out first. Remember everyone’s skin is very different.
…read more",https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
2,"Sabi1991
Sephora employee
Eye Color Green
Hair color Blonde
Skin Tone Porcelain
Skin Type Dry",5 stars,My favorite cleanser!! i love the packaging on this even tho my first bottle slipped out of my hands lol,https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
3,"happyface2
Eye Color Blue
Hair color Blonde
Skin Tone Fair
Skin Type Dry",5 stars,"I love all things Youth To The People! This cleanser smells fresh and light, the ingredients are fantastic, and they are cruelty-free! (A quick google search of any brand will tell you if they're actually cruelty-free, don't just trust what a company says on its site, there are very loose rules about a company being able to claim they're CF on their marketing material) I use Farmacy Green Clean to thoroughly remove all my make-up before using this, if you wear long wear makeup you may want to do the same. I follow with their Dream Mask at night and Tatcha Dewy Skin Cream or YTTP Adaptogen Cream in the am. I recently moved to Chicago from California and my newly dry winter skin is happy once again :)
…read more",https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
4,"kimkix34
Eye Color Green
Hair color Blonde
Skin Tone Fair
Skin Type Normal",5 stars,I had a trial size of this and was obsessed. My skin feels so clean and looks great. The soap is not harsh and smells nice. I bought the biggest bottle and it’s worth every cent.,https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
5,"TABrown
Age 25-34
Eye Color Brown
Hair color Brunette
Skin Tone Fair
Skin Type Combination",2 stars,There is nothing great about this cleanser. I got the small size bottle to try out and would certainly never spend my money to buy this. It did remove my makeup so this got 2 stars instead of one but it did nothing for my skin. In fact I had some uneven texture after using this for a while. There are much better cleansers out there.,https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
6,"britcorm
Eye Color Blue
Hair color Brunette
Skin Tone Porcelain
Skin Type Oily",1 star,Been trying this cleanser for about 3 weeks now and it’s not for me. I’m so glad I only bought the small bottle as this product broke me out. It’s the only new product in my routine so I know it is this one causing the break outs. I also just didn’t feel as though it cleanses very well anyway. Just a waste of money tbh. And now I have breakouts around my nose and my chin to deal with... great.,https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
7,"jenn887
Eye Color Brown
Hair color Black
Skin Tone Tan
Skin Type Dry",5 stars,"loveeeeeee this cleanser. Leaves my skin smooth and lighter than my old cleanser. Would highly recommend, the small bottle lasts me forever",https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
8,"kimmydoodles
Eye Color Hazel
Hair color Brunette
Skin Tone Fair
Skin Type Combination",5 stars,Like the fact that you do not need to use a lot to wash your face. Smells nice and my skin feels good after I use it.,https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
9,"taylorashudson
Eye Color Blue
Hair color Blonde
Skin Tone Light
Skin Type Combination",5 stars,I like it so far! Doesn’t feel stripping and smells really nice,https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
10,"Melliey
Eye Color Gray
Hair color Blonde
Skin Tone Fair
Skin Type Combination",5 stars,"I’m in love with this! First of all, it comes in a glass bottle which is nice because I can reuse it for other things once it’s finished. Secondly, it smells like what it’s made of which for me is great. Lastly it leaves my face feeling fresh and clean. Totally worth it!",https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
11,"TreversGirl6
Age 18-24
Eye Color Brown
Hair color Black
Skin Tone Deep
Skin Type Combination",5 stars,"I bought this cleanser because I heard it was very good for your skin. It has good ingredients in it, foams up and doesn't dry out my combination skin. I've been using it twice a day and my skin doesn't ever feels stripped or irritated.",https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
12,"kindlyD
Eye Color Brown
Hair color Brunette
Skin Tone Medium
Skin Type Combination",5 stars,"This is my second time purchasing this cleanser! Highly recommend if you're looking for something gentle and good for the skin. Also the price isn't so bad as this will last you a pretty long time, it also doesn't dry out your skin and has a pleasant smell. DID NOT BREAK ME OUT !!!! I used to have cystic acne, still do (not as bad) and occasional ""pimple breakouts"" after I started using this my skin REALLY calmed down .
…read more",https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
13,"jazzminrose
Eye Color Brown
Hair color Auburn
Skin Tone Olive
Skin Type Dry",5 stars,"Honestly, Since the first time I washed my face with this product, my skin has cleared up so much! I look beautiful in every mirror in any lighting! My skin is 90% clear and I’ve only used it a week. The bottle is glass. Definitely luxurious!! I would recommend this to anyone who’s tried everything! I’ve used it all from high end, to low end!",https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
14,"meya123
Eye Color Brown
Hair color Black
Skin Tone Tan
Skin Type Oily",5 stars,"I have oily skin, big pores, clogged pores. I get white heads and black heads all the time. My skin is picky. Rice cleansers tend to clog my skin. I was using Sunday Riley's Clay Cleanser (used it for 6 months) and my skin wasn't looking any better. I thought it was just my skin. Sephora had a little set for 200 pts so I got this and the AHA toner. OMG. I went back and got another sample. Then I bought the full-size, absolutely skin changing. I get multiple compliments about how my skin looks radiant, clear and my blackheads on my nose are disappearing. I've never been so happy or satisfied with how my skin looks till I started using this daily (2x a day).
…read more",https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
15,"shannopher
Eye Color Brown
Hair color Brunette
Skin Tone Light
Skin Type Combination",5 stars,My new go to - I love this product. The soap feels light and leaves my skin soft and clean in a effortless way.,https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
16,"Rosaleena
Eye Color Brown
Hair color Brunette
Skin Tone Deep
Skin Type Oily",5 stars,This is the best cleanser I have used by far I have acne prone oily skin and after I use i feel clean and doesn’t dry out my skin,https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
17,"AlexandraP27
Eye Color Hazel
Hair color Brunette
Skin Tone Porcelain
Skin Type Dry",5 stars,"I found this cleanser when my skin started breaking out with cystic acne, I was looking for a cleanser that didn't foam and was vegan (surprisingly difficult). This is my new favourite cleanser, it doesn't dry my skin out or cause me to break out!",https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
18,"keyz2thejeep
Eye Color Brown
Hair color Blonde
Skin Tone Dark
Skin Type Combination",4 stars,Best cleaner I’ve ever used. Gets my face nice and clean without stripping my face. My only con is the packing due to the cleanser leaking from the nozzle.,https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
19,"CuriousAboutNew
Received free product
Age 35-44
Eye Color Brown
Hair color Brunette
Skin Tone Medium
Skin Type Oily",5 stars,"I received a tiny tester of this product from another beauty box subscription last year. I feels good on the skin, especially around my eyes and even on facial irritations (acne, acne infections, etc).",https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
20,"Vani241
Eye Color Brown
Hair color Black
Skin Tone Olive
Skin Type Oily",3 stars,"There are Pros and Cons to this cleanser! This cleaner I believe is a game changer for someone who needs a morning cleanser or someone who is a no makeup - light makeup person but if your someone like me who is a medium - heavy makeup person then this is not for you. It barely removes your makeup, you use way too much when washing your face and you end up not feeling like your face is fully cleaned.
…read more",https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
21,"lisf
Eye Color Brown
Hair color Blonde
Skin Tone Light
Skin Type Combination",5 stars,I LOVE this! I use it AM and PM and love how my skins been looking and feeling recently.,https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
22,"hayleyshphrd
Eye Color Green
Hair color Brunette
Skin Tone Tan
Skin Type Combination",4 stars,"This product smells good, the glass bottle and pump are great and it does a great job at removing makeup. I took a star off because it's not meshing well with my dry winter skin.",https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
23,"JMS0923
Eye Color Blue
Hair color Brunette
Skin Tone Light
Skin Type Combination",5 stars,Love love love this I can actually see and feel the difference in my face having less breakouts and my skin is more radiant!! This will be a regular purchase for me now! I have bought and used so many different face products that have just had ok results. This one stands apart from those hands down!,https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387
24,"samanthapotter
Age 13-17
Eye Color Brown
Hair color Brunette
Skin Tone Light
Skin Type Combination",1 star,"I was so excited to begin delving deep into The Ordinary's products and I started doing heavy research. I have many of their products arriving in a few days to begin updating my skincare regime, and I was about to include this product in that order. However, upon further inspection of the ingredient list, Rosa damascena flower water is listed as the third ingredient!!!! This is a highly irritating fragrance and for people with sensitive skin such as myself is an ingredient that should be avoided. If they choose to reformulate without this and the other fragrances in the toner, I would be happy to try it out. But a bottle with probably close to 5 percent fragrances? That is not beneficial to the skin, let alone for a leave on product. :/
…read more",https://www.sephora.com/product/the-ordinary-deciem-glycolic-acid-7-toning-solution-P427406?icid2=products%20grid:p427406
25,"Hanab013
Eye Color Brown
Hair color Black
Skin Tone Medium
Skin Type Combination",2 stars,"I have been using this for months, not every night but about 4-5 nights/week and saw no difference in my skin. I don't think I'll be using this again.",https://www.sephora.com/product/the-ordinary-deciem-glycolic-acid-7-toning-solution-P427406?icid2=products%20grid:p427406
